İlan başlığı,Fiyat,Oda sayısı,Metrekare,Mahalle / Konum bilgisi,Yayınlanma tarihi
ISPARTA MERKEZ ÇÜNÜR MAHALLESİNDE KİRALIK APART DAİRE.,13.000 TL,1+1,48,"Anadolu
Çünür Mh.","24 Kasım
2025"
ÇARŞI MERKEZDE KİRALIK 2+1 EŞYALI DAİRE,12.000 TL,2+1,60,"Kutlubey
Pirimehmet Mah.","26 Kasım
2025"
MNS GAYRİMENKULDEN KİRALIK FATİH MAH 2+1 ARAKAT APART,13.000 TL,2+1,60,"Anadolu
Fatih Mah.","24 Kasım
2025"
Valilik-Ordu evi yakını 2+1 Eşyalı Isınma-Elekrik-Su Dahil,16.000 TL,2+1,70,"Çelebiler
İskender Mh.","25 Kasım
2025"
MUZAFFER TÜRKEŞ MAHALLESİNDE SIFIR KİRALIK DAİRELER,25.000 TL,3+1,150,"Anadolu
Muzaffer Türkeş Mh.","24 Kasım
2025"
ÇAYBOYUNDA KİRALIK SIFIR 3+1 DAİRE,28.000 TL,3+1,135,"Çelebiler
Keçeci Mh.","24 Kasım
2025"
kule246'DA KİRALIK 3+1 145 M2 LÜX KİRALIK DAİRE,28.000 TL,3+1,145,"Kepeci
Davraz Mah.","26 Kasım
2025"
HIZIRBEY MAHALLESİ'NDE HER ŞEY DAHİL KİRALIK APART,12.000 TL,1+1,40,"Kutlubey
Hızırbey Mh.","25 Kasım
2025"
FATİH DE HERŞEY DAHİL 1+1 ( BAHÇE KAT ),7.500 TL,2+0,35,"Anadolu
Fatih Mah.","24 Kasım
2025"
32 ARTIBİR EMLAK ÇÜNÜRDE LÜKS 1+1 APART DAİRE,16.000 TL,1+1,50,"Anadolu
Çünür Mh.","02 Aralık
2025"
CENTRUM GARDEN KARŞISI 1+1 EŞYALI DAİRE,12.000 TL,1+1,50,"Kepeci
Davraz Mah.","24 Kasım
2025"
İYAŞA YAKIN CADDE ÜSTÜ 2+1 APART,10.000 TL,2+1,45,"Anadolu
Fatih Mah.","24 Kasım
2025"
ISPARTA İSTİKLAL'DE KİRALIK 3+1 DAİRE,23.000 TL,3+1,135,"Kepeci
İstiklal Mh.","24 Kasım
2025"
sahibinden kiralık,20.000 TL,3+1,135,"Kepeci
Davraz Mah.","24 Kasım
2025"
FATİH MAHALLESİNDE BİREYSEL DOĞALGAZLI 3+1 150 M² KİRALIK DAİRE,13.000 TL,3+1,150,"Anadolu
Fatih Mah.","24 Kasım
2025"
İSTİKLAL MAHALLESİNDE KİRALIK STÜDYO DAİRE,16.000 TL,2+1,55,"Kepeci
İstiklal Mh.","25 Kasım
2025"
Sidre mah Kiralık 3+1 Arakat,14.000 TL,3+1,130,"Çelebiler
Sidre Mah.","24 Kasım
2025"
BURÇ CAFE ÜZERİNDE HERŞEY DAHİL 2+1 APART,14.500 TL,2+0,70,"Anadolu
Modern Evler Mah.","24 Kasım
2025"
ÇÜNÜR DE GENİŞ KİRALIK 1+1 APART,12.000 TL,1+1,55,"Anadolu
Çünür Mh.","27 Kasım
2025"
BEN OLSAM KAÇIRMAZDIM,13.000 TL,1+1,60,"Anadolu
Modern Evler Mah.","23 Kasım
2025"
SAHİBİNDEN KİRALIK 1+0 EŞYALI DAİRE,7.000 TL,Stüdyo (1+0),35,"Anadolu
Mehmet Tönge Mh.","25 Kasım
2025"
SAHİBİNDEN KİRALIK 3+1 BAHÇE KATI,13.000 TL,3+1,150,"Kozluçay
Dere Mah.","23 Kasım
2025"
IYAŞ AVM ye YAKIN 2+1 HERŞEY DAHİL EŞYALI KİRALIK APART DAİRELER,11.500 TL,2+1,50,"Anadolu
Zafer Mah.","23 Kasım
2025"
ISPARTA MERKEZ FATİH MAH. 1+0 BAHÇE KATI APART. AYLIK VERİLİR.,5.000 TL,Stüdyo (1+0),20,"Anadolu
Fatih Mah.","27 Kasım
2025"
"ISPARTA MERKEZ YAYLA MAH.(111CADDE)1+1 ,45 M2. KİRALIK APART",13.000 TL,1+1,55,"Tokmacık
Yayla Mah.","23 Kasım
2025"
"ISPARTAMERKEZ HALIKENT MAH.3+1,5.KAT ASANSÖRLÜ KİRALIK DAİRE",14.000 TL,3+1,145,"Çelebiler
Halıkent Mh.","23 Kasım
2025"
Sahibinden Modern Evler'de Seçkin Konsept 1+1,11.000 TL,1+1,40,"Anadolu
Modern Evler Mah.","23 Kasım
2025"
ASYA EMLAK TAN ÇARŞIDA AİLE BİNASINDA EŞYALI 2+0,15.000 TL,2+0,70,"Kutlubey
Pirimehmet Mah.","24 Kasım
2025"
DEREGÜMÜ'DE KİRALIK SIFIR 3+1 LÜX DAİRE,25.000 TL,3+1,145,"Anadolu
Zafer Mah.","23 Kasım
2025"
Sahibinden Kiralık,9.500 TL,1+1,55,"Anadolu
Çünür Mh.","23 Kasım
2025"
İSTASYON DA EŞYALI 3+1 KİRALIK,30.000 TL,3+1,135,Kepeci,"24 Kasım
2025"
ISPARTA KEPECİ'DE 2+1 KİRALIK DAİRE,22.500 TL,2+1,90,Kepeci,"24 Kasım
2025"
Sahibinden Eşyalı Kombili 1+1 Kullanışlı Daire,12.500 TL,1+1,55,"Anadolu
Çünür Mh.","23 Kasım
2025"
ISPARTA LÜKS APARTLAR 2+1,14.000 TL,2+1,50,"Anadolu
Fatih Mah.","30 Kasım
2025"
ISPARTA MERKEZ ÇÜNÜRDE 1+1 KİRALIK ESYALI APART,8.500 TL,1+1,50,"Anadolu
Çünür Mh.","27 Kasım
2025"
HERŞEY DAHİL 1+1 YENİ OTOGAR ÜNİVERSİTE YAKININDA,15.000 TL,1+1,50,"Anadolu
Çünür Mh.","23 Kasım
2025"
KULE246'DA SIFIR EŞYALI KİRALIK LÜX 1+1 STÜDYO DAİRELER,16.000 TL,1+1,55,"Kepeci
Davraz Mah.","26 Kasım
2025"
Gef Gayrimenkulden Yeni ISUBU yerleşkesine 200 m. Mesafede 2+1,11.250 TL,2+1,45,"Kutlubey
Hızırbey Mh.","23 Kasım
2025"
32 ARTIBİR EMLAKTAN MODERNEVLERDE LÜKS 1+1 GENİŞ BALKONLU APART,12.000 TL,1+1,50,"Anadolu
Modern Evler Mah.","26 Kasım
2025"
İstiklal mahallesi 3+1,23.000 TL,3+1,135,"Kepeci
İstiklal Mh.","22 Kasım
2025"
FATİHTE İYAŞA YÜRÜME MESAFESİNDE ARA KAT BALKONLU 2+0 APART,10.000 TL,2+0,45,"Anadolu
Fatih Mah.","22 Kasım
2025"
Valilik yakını Kiralık 2+1,13.000 TL,2+1,100,"Çelebiler
Gazi Kemal Mah.","22 Kasım
2025"
"EŞYALI, DOĞALGAZ DAHİL APART - MERKEZİ KONUMDA",12.000 TL,1+1,50,"Anadolu
Sanayi Mah.","22 Kasım
2025"
YAYLA MAHALLESİ'NDE 3+1 GENİŞ KİRALIK DAİRE,24.500 TL,3+1,155,"Tokmacık
Yayla Mah.","23 Kasım
2025"
DAVRAZ MAHALLESİ ÇEVRE YOLUNA YAKIN KİRALIK 3+1 DAİRE,20.000 TL,3+1,160,"Kepeci
Davraz Mah.","22 Kasım
2025"
ÇÜNÜRÜN GÖZBEBEĞİ,16.000 TL,1+1,55,"Anadolu
Çünür Mh.","22 Kasım
2025"
KİRALIK 1+0 APARTLAR,7.500 TL,Stüdyo (1+0),20,"Anadolu
Fatih Mah.","22 Kasım
2025"
MEYDAN AVM YAKININDA KİRALIK 2+0 TEMİZ APART,12.000 TL,2+0,45,"Kutlubey
Pirimehmet Mah.","22 Kasım
2025"
ÇARŞI MERKEZDE 3+1 KİRALIK DAİRE,20.000 TL,3+1,170,"Çelebiler
Çelebiler Mh.","22 Kasım
2025"
32 ARTIBİR EMLAKTAN İSTİKLAL MAHALLESİNDE 3+1 DAİRE,18.000 TL,3+1,145,"Kepeci
İstiklal Mh.","22 Kasım
2025"
MEYDAN AVM ÜSTÜ KİRALIK APART DAİRELER,7.500 TL,Stüdyo (1+0),7.500,"Kutlubey
Bağlar Mh.","23 Kasım
2025"
İYAŞ AVM YANI KİRALIK 1+1 EŞYALI APART,10.000 TL,1+1,50,"Anadolu
Fatih Mah.","26 Kasım
2025"
LİDER EMLAK Çarşı Özkanlar kavşağında 2+1 full eşyalı 18.000₺,18.000 TL,2+1,130,"Kutlubey
Pirimehmet Mah.","22 Kasım
2025"
Davraz Mahallesi Muhteşem Konumda Kiralık Daire,20.000 TL,3+1,155,"Kepeci
Davraz Mah.","22 Kasım
2025"
ISUBÜ VE MEYDAN AVM'YE YAKIN HER ŞEY DAHİL KİRALIK 1+1 APART,13.000 TL,1+1,45,"Kutlubey
Hızırbey Mh.","22 Kasım
2025"
ISPARTA MERKEZ YEDİŞEHİTLER 1+0 HERŞEY DAHİL BALKONLU APART.,6.000 TL,Stüdyo (1+0),20,"Anadolu
Yedişehitler Mh.","22 Kasım
2025"
3+1 ANA CADDE TADİLATLI,18.000 TL,3+1,130,"Anadolu
Fatih Mah.","22 Kasım
2025"
32/ARTIBİR EMLAK'TAN YENİ OTOGAR KARŞISI BALKONLU APART DAİRE,13.000 TL,2+1,65,"Anadolu
Çünür Mh.","01 Aralık
2025"
VİSTA'DAN SDÜ YANI KİRALIK 2+1 APART,17.000 TL,2+1,55,"Anadolu
Çünür Mh.","23 Kasım
2025"
ISPARTA MERKEZ VATAN MAH 3+1 145 M2 BAKIMLI DAİRE,16.500 TL,3+1,145,"Çelebiler
Vatan Mah.","22 Kasım
2025"
ISPARTA MERKEZ BAĞLAR MAH. 2+0 ESYALİ KİRALIK APART,10.000 TL,2+0,50,"Kutlubey
Bağlar Mh.","27 Kasım
2025"
ISPARTA HALIKENT MAHALLESİNDE KİRALIK DAİRE,12.500 TL,3+1,145,"Çelebiler
Halıkent Mh.","22 Kasım
2025"
ISUBÜ alt sokağında kiralık 0 apart daire,17.000 TL,1+1,50,"Çelebiler
Turan Mah.","22 Kasım
2025"
MODERNEVLERDE KİRALIK 1+0 EŞYALI APART DAİRE,8.000 TL,Stüdyo (1+0),30,"Anadolu
Modern Evler Mah.","22 Kasım
2025"
FATİHTE SIFIR ULTRA LÜKS EŞYALI APART,17.495 TL,1+1,60,"Anadolu
Fatih Mah.","22 Kasım
2025"
FATİH MAHALLESİNDE METRO CITY DE 4+1 198 M2 KİRALIK ŞIK DAİRE,30.000 TL,4+1,198,"Anadolu
Fatih Mah.","22 Kasım
2025"
ASYA EMLAK TAN ÇARŞIDA EŞYALI BALKONLU 2+1 ARAKAT,9.000 TL,2+1,65,"Kutlubey
Pirimehmet Mah.","24 Kasım
2025"
DİNÇER GYD-ZAFER MAHALLESİNDE 3+1 ARA KAT 15.000₺,15.000 TL,3+1,150,"Anadolu
Zafer Mah.","22 Kasım
2025"
DİNÇER GYD-BAĞLAR MAH MEYDAN AVM MEVKİ BAHÇELİ 2+1 9500₺,9.500 TL,2+1,55,"Kutlubey
Bağlar Mh.","22 Kasım
2025"
YEDİŞEHİTLER MAHALLESİNDE 1+1 BALKONLU GENİŞ ARAKAT APART,10.000 TL,1+1,50,"Anadolu
Yedişehitler Mh.","22 Kasım
2025"
MODERNEVLER MAH KİRALIK 3+1 CADDE ÜZERİ GÜNEY CEPHE,20.500 TL,3+1,130,"Anadolu
Modern Evler Mah.","22 Kasım
2025"
Aşağı Belmaş evleri itfaye üzeri dere boyu yukarı doğru,18.000 TL,2+1,110,"Kepeci
Karaağaç Mh.","22 Kasım
2025"
ÇARŞI MERKEZ ANA CADDE 2+1 70m2 BALKONLU DAİRE,15.000 TL,2+1,70,"Kutlubey
Hızırbey Mh.","23 Kasım
2025"
ADARLAR SİTESİN LÜKS 3+1 KİRALIK DAİRE,32.000 TL,3+1,165,"Anadolu
Modern Evler Mah.","19 Kasım
2025"
FK GRUP EMLAK'TAN FATİH MAH İYAŞ AVM'YE YAKIN 2+1 APART,9.500 TL,2+1,60,"Anadolu
Fatih Mah.","22 Kasım
2025"
FK GRUP EMLAK'TAN ÇÜNÜR MAH TIP FAKÜLTESİ KARŞISINDA 1+1 APART,10.000 TL,1+1,55,"Anadolu
Çünür Mh.","22 Kasım
2025"
KULE246'DA KİRALIK LÜX 2+1 DAİRE,20.000 TL,2+1,90,"Kepeci
Davraz Mah.","26 Kasım
2025"
Halıkent mah kiralık arakat 3+1 daire..,12.500 TL,3+1,155,"Çelebiler
Sidre Mah.","22 Kasım
2025"
FATİHTE KİRALIK 3+1BAKIMLI DAİRE,11.000 TL,3+1,110,"Anadolu
Yedişehitler Mh.","22 Kasım
2025"
BLACK GAYRİMENKUL// FATİH MAH. 1+1 APART,10.500 TL,1+1,45,"Anadolu
Fatih Mah.","23 Kasım
2025"
SAHİBİNDEN KİRALIK 3+1,24.500 TL,3+1,150,"Anadolu
Muzaffer Türkeş Mh.","21 Kasım
2025"
HIZIRBEYDE KİRALIK BAKIMLI GÜZEL KONUMDA 3+1 DAİRE,18.500 TL,3+1,140,"Kutlubey
Hızırbey Mh.","22 Kasım
2025"
ÇARŞI MERKEZDE ULTRA LÜKS SIFIR EŞYALI KİRALIK 1+1 APART,15.500 TL,1+1,45,"Kutlubey
Bağlar Mh.","22 Kasım
2025"
FATİHTE KİRALIK LÜKS 1+1 EŞYALI APART,10.000 TL,1+1,45,"Anadolu
Fatih Mah.","22 Kasım
2025"
Işıkkent'de Kiralık Daire,12.000 TL,3+1,120,"Kutlubey
Işıkkent Mh.","21 Kasım
2025"
yedisehitler de kiralık,12.500 TL,2+1,100,"Anadolu
Yedişehitler Mh.","21 Kasım
2025"
MUZAFFER TÜRKEŞDE KİRALIK 3+1 DAİRE ARAKAT GÖK KUBBEYE YAKIN,22.500 TL,3+1,148,"Anadolu
Muzaffer Türkeş Mh.","22 Kasım
2025"
Isparta Çünür Kiralık 1+1 70m2 Elit Apart,19.000 TL,1+1,70,"Anadolu
Çünür Mh.","22 Kasım
2025"
İstanbul Caddesi Üzeri Kiralık 2+0 ve 1+1 Rezidans Daireler,15.250 TL,2+0,52,"Anadolu
Bahçelievler Mh.","21 Kasım
2025"
KİRALIK 3+1 YENİ DAİRE Pazar yerine 1 dk,22.000 TL,3+1,145,"Anadolu
Çünür Mh.","22 Kasım
2025"
Kiralık ev,15.000 TL,3+1,120,"Anadolu
Fatih Mah.","21 Kasım
2025"
ÇÜNÜR - YENİ OTOGAR KARŞ. FULL EŞYALI 3+1 DAİRE KOMİSYONSZ,15.000 TL,3+1,120,"Anadolu
Çünür Mh.","21 Kasım
2025"
ÖZKANLAR ÜSTÜ KOÇ CAM KARŞISI ARA KAT KİRALIK APART,6.500 TL,Stüdyo (1+0),25,"Kutlubey
Bağlar Mh.","23 Kasım
2025"
Isparta merkez zafer mahallesi 2+0. 1+0. Kiralık Apartlar,6.500 TL,2+0,25,"Anadolu
Zafer Mah.","21 Kasım
2025"
,,,,,
Kunduracılar Sitesi Şemsiyeli sokakta 2 + 1 60 metre² ultra lüks,12.500 TL,2+1,60,"Kutlubey
Pirimehmet Mah.","21 Kasım
2025"
ÇELİKEV GAYRİMENKUL'DEN MODERNEVLERDE ARAKAT HER ŞEY DAHİL 2+1,15.000 TL,2+1,55,"Anadolu
Modern Evler Mah.","21 Kasım
2025"
Anadolu Mahallesi Kiralık Dairemiz 5 katlı 4 kat,10.000 TL,2+1,120,Anadolu,"21 Kasım
2025"
KARGOCULAR SOKAĞINDA GENİŞ 2+1 KİRALIK DAİRE,15.000 TL,2+1,115,"Çelebiler
Çelebiler Mh.","22 Kasım
2025"
FATİH MAHALLESİNDE KİRALIK 2+1 EŞYALI DAİRE,11.000 TL,2+1,50,"Anadolu
Fatih Mah.","26 Kasım
2025"
Güneş Gayrimenkul'den Çarşı Merkez'de 2+0 Yakıt Net Dahil,11.000 TL,2+0,50,"Kutlubey
Pirimehmet Mah.","24 Kasım
2025"
Sahibinden çünürde eşyalı apart,15.500 TL,1+1,50,"Anadolu
Çünür Mh.","21 Kasım
2025"
İYAŞA YÜRÜME MESAFESİNDE KİRALIK 2+1 EŞYALI APART,10.500 TL,2+1,50,"Anadolu
Zafer Mah.","21 Kasım
2025"
DİNÇER GYD-KEPECİ ÇARŞI MERKEZ 1+0 STÜDYO DAİRELER 8000₺,8.000 TL,Stüdyo (1+0),40,Kepeci,"22 Kasım
2025"
ZAFER MAHALLESİNDE 2+1 105 M² GENİŞ TERASLI ÇATI KAT DAİRE,10.000 TL,2+1,100,"Anadolu
Zafer Mah.","22 Kasım
2025"
MNS GAYRİMENKULDEN KİRALIK DAVRAZ MAH 3+1 DAİRE,18.000 TL,3+1,140,"Kepeci
Davraz Mah.","21 Kasım
2025"
ÇÜNÜR ADEN KONUTTA GENİŞ 2+1 APART DAİRE,16.000 TL,2+1,65,"Anadolu
Çünür Mh.","22 Kasım
2025"
"ZİRAAT EMLAK' TAN KİRALIK İYAŞ ÜZERİ 1+1, MEGA LÜKS APART",12.000 TL,2+1,50,"Anadolu
Fatih Mah.","21 Kasım
2025"
ÇARŞI MERKEZDE 3+1 ARAKAT YALITIMLI ASANSÖRLÜ KİRALIK DAİRE,15.000 TL,3+1,135,"Kutlubey
Hızırbey Mh.","21 Kasım
2025"
SAHİBİNDEN MODERNEVLER'DE FULL EŞYALI 1+1 ARA KAT BALKONLU,14.250 TL,1+1,45,"Anadolu
Modern Evler Mah.","21 Kasım
2025"
MODERNEVLER MAHALLESİ BİREYSEL KOMBİLİ KİRALIK 1+1 APART,13.000 TL,1+1,50,"Anadolu
Modern Evler Mah.","21 Kasım
2025"
BAHÇELİEVLERDE ARA KAT HER ŞEY DAHİL 2+0 APARTLAR,12.000 TL,2+1,50,"Anadolu
Bahçelievler Mh.","21 Kasım
2025"
ÖZEL DAVRAZ YAŞAM HASTANESİ YANINDA KİRALİK ESYALİ2+1APARTLAR,10.000 TL,2+1,52,"Kutlubey
Pirimehmet Mah.","22 Kasım
2025"
ÇÜNÜR MAHALLESİNDE KİRALIK 1+1 EŞYALI APART,10.000 TL,1+1,55,"Anadolu
Çünür Mh.","20 Kasım
2025"
kiralık çatı katı daire,11.000 TL,3+0,110,"Anadolu
Fatih Mah.","20 Kasım
2025"
3+1 sıfır daire,24.000 TL,3+1,145,"Anadolu
Muzaffer Türkeş Mh.","20 Kasım
2025"
KAFELER CADDESİ İÇİNDE KİRALIK ARA KAT 2+1 OFİS/DAİRE,15.000 TL,2+1,100,Kutlubey,"20 Kasım
2025"
IYAŞPARKA YÜRÜME MESAFESİNDE 2+0 APART 10.000TL'YE SAHİBİNDEN,10.000 TL,Stüdyo (1+0),40,"Anadolu
Bahçelievler Mh.","20 Kasım
2025"
ADLİYEYE 30 ADIM KİRALIK BALKONLU 2+1 APART 13.500₺,13.500 TL,2+1,55,"Anadolu
Fatih Mah.","26 Kasım
2025"
,,,,,
VATAN MAH HD PARK SİTESİ 3+1 KİRALIK DAİRE,22.000 TL,3+1,155,"Çelebiler
Vatan Mah.","20 Kasım
2025"
HALIKENT MAHALLESİ'NDE SİTE İÇİNDE KİRALIK 2+1 DAİRE,12.000 TL,2+1,110,"Çelebiler
Halıkent Mh.","20 Kasım
2025"
"ZİRAAT EMLAK' TAN KİRALIK BAĞLAR MAHALLESİNDE 1+1, DAİRE",13.000 TL,1+1,50,"Kutlubey
Bağlar Mh.","20 Kasım
2025"
KAYA EMLAKTAN ANADOLU MAH. SIFIR KİRALIK 1+1 DAİRE,17.000 TL,1+1,65,Anadolu,"21 Kasım
2025"
Kiralık apart,10.000 TL,1+1,50,"Anadolu
Fatih Mah.","20 Kasım
2025"
KİRALIK IŞIKKENT MAH. 6+1 DUBLEKS DAİRE.,43.000 TL,6+1,200,"Kutlubey
Işıkkent Mh.","20 Kasım
2025"
ANADOLU MAHALLESİ'NDE SİTE İÇERİSİNDE KİRALIK 3+1 DAİRE,18.000 TL,3+1,130,Anadolu,"20 Kasım
2025"
GEF GAYRİMENKULDEN TREN İSTASYONU KARŞISINDA KİRALIK 2+1 DAİRE,21.750 TL,2+1,100,"Kepeci
İstiklal Mh.","20 Kasım
2025"
İSTİKLAL MAHALLESİNDE KİRALIK DAİRE,18.000 TL,3+1,135,"Kepeci
İstiklal Mh.","22 Kasım
2025"
Gazikemal Mah. Ana cadde üzeri,16.750 TL,2+1,130,"Çelebiler
Gazi Kemal Mah.","20 Kasım
2025"
